House Direction,Balcony Direction,Bedrooms,Toilets,Legits,Furnitures,Floors,Facade,Entrance,City,District,Ward,Street,Area,Price,X,Y
Tây - Nam,Đông - Bắc,1.0,1.0,Hợp đồng mua bán,,,,,Hà Nội,Tây Hồ,Phường Phú Thượng,Đường Lạc Long Quân,45.25,2715.0,21.0791733,105.815656
,Tây,2.0,2.0,Sổ đỏ/ Sổ hồng.,"- Hoàn thiện nội thất cơ bản CĐT, đã làm full đồ để ở.",,,,Hà Nội.,Nam Từ Liêm,Phường Mỹ Đình 1,Đường Phạm Hùng,70.0,3700.0,21.0205027,105.7639271
,,10.0,10.0,,Full nội thất.,6.0,6.5,2.5,Hà Nội,Hai Bà Trưng,Phường Thanh Lương,Phố Lạc Trung,60.0,9300.0,21.0105311,105.8630736
,,2.0,2.0,Đang chờ sổ,Đầy đủ,,,,Hà Nội,Tây Hồ,Phường Phú Thượng,Đường Lạc Long Quân,60.0,3600.0,21.0791733,105.815656
,,,,Sổ đỏ/ Sổ hồng,,5.0,4.5,,Hà Nội,Cầu Giấy,Phường Trung Hòa,Đường Nguyễn Thị Định,65.0,15000.0,21.0373324,105.7910892
Bắc,Nam,3.0,3.0,Sổ đỏ/ Sổ hồng,"Điều hòa, Rèm cửa, tủ âm tường, thiết bị vệ sinh, bếp ga",,,,Hà Nội,Hoài Đức,Xã An Khánh,Đường Đại lộ Thăng Long,122.17,3848.355,20.9599107,105.7387786
Đông - Nam,,2.0,,Sổ đỏ,Nội thất đầy đủ trong nhà,4.0,4.0,,Hà Nội,Hà Đông,Phường Phú Lương,,35.0,2380.0,20.9599107,105.7387786
,,4.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,4.0,4.0,4,Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Bằng Liệt,32.0,2900.0,20.966384,105.8377568
,,,,Sổ đỏ/ Sổ hồng.,,5.0,,,Hà Nội,Cầu Giấy,Phường Dịch Vọng Hậu,Phố Trần Quốc Hoàn,50.0,15000.0,21.0388103,105.7818897
Nam,Tây,3.0,2.0,Sổ đỏ/ Sổ hồng,Tiện nghi,,,,Hà Nội,Thanh Xuân,Phường Khương Trung,Đường Khương Trung,98.0,3890.0,20.9892133,105.809648
