title,url,price_raw_orig,price_million_final,price_billion,price_vnd_original,location,district,area_m2,snippet
"Nhà Xuân Đỉnh - Bắc Từ Liêm oto đỗ sân, 82m2; MT 5,2m; giá 12x tỷ",https://homedy.com/ban-nha-rieng-quan-bac-tu-liem-ha-noi/xuan-dinh-oto-do-san-82m2-mt-52m-gia-12x-ty-es3167564,"12,5 Tỷ",12500.0,12.5,125.0,"Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,82.0,
"Chính chủ bán nhà mặt phố Trần Phú, khu KD sầm uất bậc nhất Hà Đông, dòng tiền lớn, chỉ 24.5 tỷ",https://homedy.com/ban-nha-mat-pho-quan-ha-dong-ha-noi/chinh-chu-tran-phu-khu-kd-sam-uat-bac-nhat-tien-lon-chi-24-5-ty-es3167468,"24,5 Tỷ",24500.0,24.5,245.0,"Quận Hà Đông, Hà Nội",Quận Hà Đông,64.0,
"Bán nhà Tây Hồ-750m2- Mặt tiền 17m, 3 ô tô tránh nhau- Vị trí đẹp nhất Lạc Long Quân",https://homedy.com/ban-nha-rieng-quan-tay-ho-ha-noi/750m2-mat-tien-17m-3-o-to-tranh-nhau-vi-tri-dep-nhat-lac-long-es3167403,415 Tỷ,415000.0,415.0,415.0,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,750.0,
"CCMN siêu dòng tiền phố Chính Kinh: 38m, 5 tầng, 7 phòng FULL đồ, giá 8.6 Tỷ.",https://homedy.com/ban-nha-rieng-quan-thanh-xuan-ha-noi/ccmn-sieu-dong-tien-pho-chinh-kinh-38m-5-tang-7-phong-full-do-gia-8-6-ty-es3166411,"8,6 Tỷ",8600.0,8.6,86.0,"Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,38.0,
"Bán nhanh nhà Cầu giấy, Doãn kế thiện, gara ô tô , 6 tầng, mặt tiền 5.2m, giá nhỉnh 11 tỷ",https://homedy.com/ban-nha-rieng-quan-cau-giay-ha-noi/nhanh-doan-ke-thien-gara-o-to-6-tang-mat-tien-5-2m-gia-nhinh-11-ty-es3162190,"11,8 Tỷ",11800.0,11.8,118.0,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,52.0,
"Bán nhà Mặt Phố Tây Sơn 28m kinh doanh sẵn đông khách giá 15,5Tỷ",https://homedy.com/ban-nha-mat-pho-quan-dong-da-ha-noi/tay-son-28m-kinh-doanh-san-khach-gia-155ty-es3166046,"15,5 Tỷ",15500.0,15.5,155.0,"Quận Đống Đa, Hà Nội",Quận Đống Đa,28.0,
"Gấp gấp, nhà mặt phố Cổ Nhuế, 50m2, MT 4.2m, giá nhỉnh 13 tỷ",https://homedy.com/ban-nha-mat-pho-quan-bac-tu-liem-ha-noi/gap-co-nhue-50m2-mt-4-2m-gia-nhinh-13-ty-es3166224,"13,5 Tỷ",13500.0,13.5,135.0,"Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,50.0,
Chính chủ gửi bán nhanh nhà đẹp tự xây tâm huyết 2 tầng 6PN gần ngay trung tâm Phường,https://homedy.com/ban-nha-rieng-huyen-chuong-my-ha-noi/chinh-chu-gui-nhanh-dep-tu-xay-tam-huyet-2-tang-6pn-gan-ngay-trung-phuong-es3165241,7 Tỷ,7000.0,7.0,7.0,"Huyện Chương Mỹ, Hà Nội",Huyện Chương Mỹ,64.0,
Bán Nhà Mặt Phố kinh doanh vỉa hè đường Đàm Quang Trung Long Biên diện tích 50m2 giá 17.8 tỷ,https://homedy.com/ban-nha-mat-pho-quan-long-bien-ha-noi/kinh-doanh-via-he-duong-dam-quang-trung-dien-tich-50m2-gia-17-8-ty-es3162824,"17,8 Tỷ",17800.0,17.8,178.0,"Quận Long Biên, Hà Nội",Quận Long Biên,50.0,
"3PN, 75m2, Full Nội Thất, Giá nhỉnh 4 tỷ tại Vinhomes Oceanpark",https://homedy.com/ban-can-ho-huyen-gia-lam-ha-noi/3pn-75m2-full-that-nhinh-4-ty-tai-vinhomes-oceanpark-es3148873,Thỏa thuận,,,,"Huyện Gia Lâm, Hà Nội",Huyện Gia Lâm,75.0,
"Bán căn 2 ngủ chung cư xala 69m2  giá chỉ 3,2x tỷ",https://homedy.com/ban-can-ho-quan-ha-dong-ha-noi/2-ngu-chung-cu-xala-69m2-gia-chi-32x-ty-es3152075,Thỏa thuận,,,,"Quận Hà Đông, Hà Nội",Quận Hà Đông,69.0,
"Bán Nhà Mới Phố Yên Hoa Ngõ Ô Tô Thông, Đi Bộ Ra Phố, Tiện Ích",https://homedy.com/ban-nha-mat-pho-quan-tay-ho-ha-noi/moi-yen-hoa-ngo-o-to-thong-di-bo-ra-tien-ich-es3150678,15 Tỷ,15000.0,15.0,15.0,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,64.0,
"Hiếm! Cần bán 59m2, nhà 3 tầng mặt phố Trâu Quỳ. Khu kinh doanh sầm uất, dòng tiền ổn định!",https://homedy.com/ban-nha-mat-pho-huyen-gia-lam-ha-noi/hiem-can-59m2-3-tang-trau-quy-khu-kinh-doanh-sam-uat-dong-tien-on-dinh-es3153231,"13,5 Tỷ",13500.0,13.5,135.0,"Huyện Gia Lâm, Hà Nội",Huyện Gia Lâm,59.0,
"Bán gấp Siêu phẩm Phân lô Kinh doanhô tô tránh 67m² 5 tầngKĐT Văn Quán, Hà Đông",https://homedy.com/ban-nha-biet-thu-lien-ke-quan-ha-dong-ha-noi/gap-sieu-pham-phan-lo-kinh-doanho-to-tranh-67m-5-tangkdt-van-es3160809,"18,2 Tỷ",18200.0,18.2,182.0,"Quận Hà Đông, Hà Nội",Quận Hà Đông,67.0,
Chung cư ia20 Ciputra 92m2 gia  5ty 0382276666,https://homedy.com/ban-can-ho-quan-bac-tu-liem-ha-noi/chung-cu-ia20-ciputra-92m2-gia-5ty-0382276666-es2930724,5 Tỷ,5000.0,5.0,5.0,"Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,92.0,
✅ Siêu Phẩm Dòng Tiền CCMN 48m2 mt 7.2m - Lô góc 3 mặt tiền - 7 tầng thang máy - 10 phòng KK,https://homedy.com/ban-nha-rieng-quan-nam-tu-liem-ha-noi/sieu-pham-dong-tien-ccmn-48m2-mt-7-2m-lo-goc-3-mat-tang-thang-may-10-phong-kk-es3167469,15 Tỷ,15000.0,15.0,15.0,"Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,48.0,
Hàng Hiếm Đường 32 - 51m2 Mặt Tền 5m4 - Oto Đỗ Cửa - Cách 3 nhà ra QL 32,https://homedy.com/ban-dat-huyen-hoai-duc-ha-noi/hang-hiem-duong-32-51m2-mat-ten-5m4-oto-do-cua-cach-3-nha-ra-ql-es3167470,"7,88 Tỷ",7880.0,7.88,788.0,"Huyện Hoài Đức, Hà Nội",Huyện Hoài Đức,51.0,
Nhà 6 Tầng Thang Máy Khu DV Vân Canh - 43m2 - Mặt tiền kinh doanh,https://homedy.com/ban-nha-rieng-huyen-hoai-duc-ha-noi/6-tang-thang-may-khu-dv-van-canh-43m2-mat-tien-kinh-doanh-es3167471,"13,5 Tỷ",13500.0,13.5,135.0,"Huyện Hoài Đức, Hà Nội",Huyện Hoài Đức,43.0,
Chính chủ bán nhà 2 căn nhà mặt phố 5 tầng thang máy cạnh Big C Long Biên 90m2 chia 2 căn 13.8 tỷ,https://homedy.com/ban-nha-rieng-quan-long-bien-ha-noi/chinh-chu-2-can-mat-pho-5-tang-thang-may-canh-big-c-90m2-chia-13-8-ty-es3167462,"13,8 Tỷ",13800.0,13.8,138.0,"Quận Long Biên, Hà Nội",Quận Long Biên,90.0,
Penthouse hạng sang Green Iconic quận Long Biên 250m2  - Khôn gian sống riêng tư Lh 0987106521,https://homedy.com/ban-can-ho-sunshine-green-iconic-long-bien/penthouse-hang-sang-quan-250m2-khon-gian-song-rieng-tu-lh-0987106521-es1819131,Thỏa thuận,,,,"quận Long Biên, thành phố Hà Nội",quận Long Biên,250.0,
Siêu phẩm đẹp nhất phố Duy Tân - Skyvilla Dreamland Bonanza  300m2 Full nội thất cao cấp Indochine,https://homedy.com/ban-can-ho-dreamland-bonanza/sieu-pham-dep-nhat-pho-duy-tan-skyvilla-300m2-full-noi-that-cao-cap-indochine-es3115704,Thỏa thuận,,,,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,300.0,
Penthouse Mulberry Lane - tại Làng Việt Kiều Châu Âu  Căn biệt thự trên không 480m2 bàn giao thô,https://homedy.com/ban-can-ho-mulberry-lane/penthouse-tai-lang-viet-kieu-chau-au-biet-thu-tren-khong-480m2-giao-tho-es2133456,Thỏa thuận,,,,"Quận Hà Đông, Hà Nội",Quận Hà Đông,480.0,
"Cơ hội hiếm! Căn hộ 3PN 135m², giá 16,5 tỷ Dleroi Soleil đẳng cấp nhất Hồ Tây. 0914 772279",https://homedy.com/ban-can-ho-d-le-roi-soleil-quang-an/co-hoi-hiem-3pn-135m-gia-165-ty-dleroi-dang-cap-nhat-tay-0914-772279-es3167406,"16,5 - 43 Tỷ",29750.0,29.75,16543.0,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,135.0,
"Liền kề DV Vạn Phúc DT41m2x7tầng thang máy, MT4.1m, 18 tỷ Hà Đông",https://homedy.com/ban-nha-biet-thu-lien-ke-quan-ha-dong-ha-noi/dv-van-phuc-dt41m2x7tang-thang-may-mt4-1m-18-ty-es3167399,18 Tỷ,18000.0,18.0,18.0,"Quận Hà Đông, Hà Nội",Quận Hà Đông,41.0,
"Sở hữu biệt thự An quý Villa song lập kđt dương nội, hà đông, hà nội",https://homedy.com/ban-nha-biet-thu-lien-ke-quan-ha-dong-ha-noi/so-huu-an-quy-villa-song-lap-kdt-duong-es3167400,0 - 0 Triệu,0.0,0.0,0.0,"Quận Hà Đông, Hà Nội",Quận Hà Đông,64.0,
"Đất Hiếm, đất biệt thự Vườn Đào DT176m2, MT11m, 99 tỷ Tây Hồ",https://homedy.com/ban-dat-quan-tay-ho-ha-noi/hiem-biet-thu-vuon-dao-dt176m2-mt11m-99-ty-es3167380,99 Tỷ,99000.0,99.0,99.0,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,176.0,
"Sunshine Golden River – căn hộ 3PN + 1, diện tích 161m², giá 23,2 tỷ bao thuế phí",https://homedy.com/ban-can-ho-sunshine-golden-river/3pn-1-dien-tich-161m-gia-232-ty-bao-thue-phi-es3167373,"23,2 Tỷ",23200.0,23.2,232.0,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,161.0,
"Nhà đẹp phố Trần Thái Tông - Trung tâm Cầu Giấy - ngõ thông thoáng sạch sẽ - Nhà đủ đồ,  ở ngay",https://homedy.com/ban-nha-rieng-quan-cau-giay-ha-noi/dep-pho-tran-thai-tong-trung-tam-ngo-thong-thoang-sach-se-du-do-o-ngay-es3166414,"7,85 Tỷ",7850.0,7.85,785.0,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,64.0,
Nhà đẹp Hiếm ở Ngọc Hà - Ba Đình - 03 Ngủ Ở ngay - vị trí tốt - trung tâm VIP,https://homedy.com/ban-nha-rieng-quan-ba-dinh-ha-noi/dep-hiem-o-ngoc-03-ngu-ngay-vi-tri-tot-trung-tam-vip-es3166173,"5,1 Tỷ",5100.0,5.1,51.0,"Quận Ba Đình, Hà Nội",Quận Ba Đình,64.0,
"Bán nhà mặt ngõ kinh doanh Ô TÔ đỗ cửa phố Chùa Bộc: 50m, 4 tầng, giá 15.5 tỷ.",https://homedy.com/ban-nha-rieng-quan-dong-da-ha-noi/mat-ngo-kinh-doanh-o-to-do-cua-pho-chua-boc-50m-4-tang-gia-15-5-ty-es3167363,"15,5 Tỷ",15500.0,15.5,155.0,"Quận Đống Đa, Hà Nội",Quận Đống Đa,50.0,
"Bán chung cư I9 Khuất Duy Tiến: 122m2 , 3PN ,căn góc giá rẻ 64tr/m2",https://homedy.com/ban-can-ho-quan-thanh-xuan-ha-noi/chung-cu-i9-khuat-duy-tien-122m2-3pn-goc-gia-re-64tr-m2-es3167366,"7,9 Tỷ",7900.0,7.9,79.0,"Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,122.0,
"Bán nhà riêng phố Tương Mai : 40m2 , 4 tầng ngõ ô tô giá 9.4 tỷ",https://homedy.com/ban-nha-rieng-quan-hoang-mai-ha-noi/pho-tuong-40m2-4-tang-ngo-o-to-gia-9-ty-es3167360,"9,4 Tỷ",9400.0,9.4,94.0,"Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,40.0,
"Bán căn nhà dòng tiền phố Lê Trọng Tấn: 38m, 5 TẦNG,  FULL 7 phòng khép kín, giá 8.6 tỷ.",https://homedy.com/ban-nha-rieng-quan-thanh-xuan-ha-noi/can-dong-tien-pho-le-trong-tan-38m-5-tang-full-7-phong-khep-kin-gia-8-6-ty-es3167358,"8,6 Tỷ",8600.0,8.6,86.0,"Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,38.0,
"Nhà 4T xây thô khu TT3 Văn Phú, 2 căn liền kề DT180m2, MT9m, ôtô KD, 46 tỷ Hà Đông",https://homedy.com/ban-nha-biet-thu-lien-ke-quan-ha-dong-ha-noi/4t-xay-tho-khu-tt3-van-phu-2-can-dt180m2-mt9m-oto-kd-46-ty-es3167348,46 Tỷ,46000.0,46.0,46.0,"Quận Hà Đông, Hà Nội",Quận Hà Đông,180.0,
Nhỉnh 4 tỷ có hộ khẩu Ba Đình - tài sản trung tâm giá trị cao.,https://homedy.com/ban-nha-rieng-quan-ba-dinh-ha-noi/nhinh-4-ty-co-ho-khau-tai-san-trung-tam-gia-tri-cao-es3166156,"4,18 Tỷ",4180.0,4.18,418.0,"Quận Ba Đình, Hà Nội",Quận Ba Đình,64.0,
Ngọc Hà - Lăng Bác - Toà 7 tầng thang máy - Cho thuê doanh thu 50tr/tháng - VIP Ba Đình.,https://homedy.com/ban-nha-rieng-quan-ba-dinh-ha-noi/ngoc-lang-bac-toa-7-tang-thang-may-cho-thue-doanh-thu-50tr-vip-es3166517,14 Tỷ,14000.0,14.0,14.0,"Quận Ba Đình, Hà Nội",Quận Ba Đình,64.0,
"Booking trực tiếp CĐT The Queen 360 Giải Phóng, ck 9.5%, được chọn căn tầng đẹp",https://homedy.com/ban-can-ho-quan-thanh-xuan-ha-noi/booking-truc-tiep-cdt-the-queen-360-giai-phong-ck-9-5-duoc-chon-tang-dep-es3167325,7 Tỷ,7000.0,7.0,7.0,"Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,64.0,
"Chính chủ cần tiền em bán mảnh đất 66m gần chợ , công viên , trường học và đường 70A giá đầu tư ah",https://homedy.com/ban-dat-huyen-hoai-duc-ha-noi/chinh-chu-can-tien-em-manh-66m-gan-cho-cong-vien-truong-hoc-va-duong-70a-gia-dau-tu-ah-es3167306,58 Triệu,58.0,0.058,58.0,"Huyện Hoài Đức, Hà Nội",Huyện Hoài Đức,66.0,
