Tiêu đề,Giá,Diện tích,Địa chỉ,Mô tả,Link
"Bán 64m đất tại trung tâm xã hạ bằng , cách công nghệ cao 300m. Tiện ích đầy đủ","Giá:2,2 tỷ",Diện tích:64m²,",Xã Hạ Bằng,Hà Nội","Bán 64m đất tại trung tâm xã hạ bằng , cách công nghệ cao 300m. Tiện ích đầy đủ
Bán 64m đất ngay hồ hạ bằng, bể bơi. Trung tâm y tế. Chợ liên xã. 
Đặc biệt cách công nghệ cao hòa lạc đúng 300m. 
Trong bán kính 350m có......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-64m-dat-tai-trung-tam-xa-ha-bang-cach-cong-nghe-cao-300m-tien-ich-day-du-16918903.html
"Bán 85m , mt 6.8m trục chính thôn đồi sen. Bình yên.",Giá:40 triệu / m²,Diện tích:85m²,",Xã Hạ Bằng,Hà Nội","Bán 85m , mt 6.8m trục chính thôn đồi sen. Bình yên. 
. đường thông kinh doanh. Khổ đất vuông đẹp. 
. cách xã tân xã cũ 150m. 
. khu vực dân cư đông đúc. Tiềm năng tăng trưởng tốt. 
. nhà đầu tư có thể mua để tích lũ......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-85m-mt-6-8m-truc-chinh-thon-doi-sen-binh-yen--17430961.html
💓 CHÍNH PHỦ CẦN BÁN NHÀ ĐẸP 7T thang máy : ✅DT : hơn 80 m2  ✅Mt: 6m  ✅Giá chào nhỉnh 23 t,Giá:23 tỷ,Diện tích:80m²,"Phố Trạm,Phường Long Biên,Hà Nội","💓 CHÍNH PHỦ CẦN BÁN NHÀ ĐẸP 7T thang máy :
✅DT : hơn 80 m2 
✅Mt: 6m 
✅Giá chào nhỉnh 23 tỷ 
✅2 ô tô ngủ trong nhà.
         💓Đc: tại phố Trạm Long Biên 💓

 ✅Đường rộng sầm uất ô tô tránh chạy vù vù, rất phù hợp......<< Xem chi tiết >>",https://alonhadat.com.vn/-chinh-phu-can-ban-nha-dep-7t-thang-may-dt-hon-80-m2-mt-6m-gia-chao-nhinh-23-t-17428499.html
"Xuân Đỉnh, gần Xuân La 50m2, 5 tầng, mt 4m, 11.9 tỷ","Giá:11,9 tỷ",Diện tích:50m²,"Đường Xuân Đỉnh,Phường Xuân Đỉnh,Hà Nội","XUÂN ĐỈNH, GẦN SÁT XUÂN LA, NGOẠI GIAO ĐOÀN 
🔥50m2, 5 tầng, mt 4m, 11.9 tỷ
🔥Gần Hồ Tây, Kosmo, Ngoại Giao Đoàn, Xuân La
🔥Trường học, lotte , chợ, siêu thị gần,…
🔥Trước nhà thoáng sáng, ô tô tải qua nhà......<< Xem chi tiết >>",https://alonhadat.com.vn/xuan-dinh-gan-xuan-la-50m2-5-tang-mt-4m-11-9-ty-17428240.html
"Rẻ nhất Ocean Park Gia Lâm - Cập nhật quỹ căn hộ CC giá tốt, cần bán gấp tại VHOCP 1","Giá:3,7 tỷ",Diện tích:55m²,"Đường Lý Thánh Tông,Xã Bát Tràng,Hà Nội","Em Hoa sẵn quỹ căn chuyển nhượng giá siêu tốt chủ nhà không có nhu cầu sử dụng nên bán gấp, nhà mới chưa qua sử dụng không có nhu cầu ở nên muốn nhượng lại, ưu tiên cho anh chị khách hàng có nhu c......<< Xem chi tiết >>",https://alonhadat.com.vn/re-nhat-ocean-park-gia-lam-cap-nhat-quy-can-ho-cc-gia-tot-can-ban-gap-tai-vhocp-1-17427785.html
"Nhà 5 tầng Gara ÔTÔ phố Ngọc Khánh 66m2, cạnh Vinhome GALLERY Giảng Võ, chỉ 26 tỷ",Giá:26 tỷ,Diện tích:66m²,"Phố Ngọc Khánh,Phường Giảng Võ,Hà Nội","Cơ hội cực hiếm ngay trung tâm Ba Đình! Bán nhà 5 tầng gara ô tô phố Ngọc Khánh – vị trí vàng ngay cạnh dự án siêu cao cấp Vinhomes Gallery Giảng Võ – giá chỉ 26 tỷ:

– Diện tích: 66m², sổ đỏ chính chủ, pháp lý rõ ràng......<< Xem chi tiết >>",https://alonhadat.com.vn/mat-pho-loi-ba-dinh-tai-kim-ma-80m2-lo-goc-cua-sau-rieng-hon-3-chuc-re-nhat-ha-noi-17259830.html
"10,8 TỶ - 40m2 - KHU TĐC GIANG BIÊN - VIỆT HƯNG - VỈA HÈ 2 BÊN","Giá:10,8 tỷ",Diện tích:40m²,"Phố Phạm Khắc Quảng,Phường Việt Hưng,Hà Nội","🏡 𝟒𝟎𝐦² 𝐕𝐢𝐞̣̂𝐭 𝐇𝐮̛𝐧𝐠 – 𝐕𝐢̉𝐚 𝐡𝐞̀ đ𝐨̂𝐢 𝐜𝐮̛̣𝐜 𝐫𝐨̣̂𝐧𝐠 – 𝐆𝐢𝐚́ 𝐜𝐮̛̣𝐜 𝐡𝐨̛̣𝐩 𝐥𝐲́

✅ 𝐕𝐢̉𝐚 𝐡𝐞̀ đ𝐨̂𝐢 𝐫𝐨̣̂𝐧𝐠 𝐭𝐡𝐞̂𝐧𝐡 𝐭𝐡𝐚𝐧𝐠 – thuận tiện để xe, kinh doanh nhỏ
✅ 𝐇𝐮̛𝐨̛́𝐧𝐠......<< Xem chi tiết >>",https://alonhadat.com.vn/10-8-ty-40m2-khu-tdc-giang-bien-viet-hung-via-he-2-ben-17325363.html
CHÍNH CHỦ BÁN ĐẤT LÔ GÓC - MẶT NGÕ THÔNG - Ô TÔ - PHÚ DIỄN BTL  62m MT 6m GIÁ 9.8TỶ .,"Giá:9,8 tỷ",Diện tích:62m²,"Đường Phú Diễn,Phường Phú Diễn,Hà Nội","CHÍNH CHỦ BÁN ĐẤT LÔ GÓC - MẶT NGÕ THÔNG - Ô TÔ - PHÚ DIỄN BTL  62m MT 6m GIÁ 9.8TỶ . 

- Bán đất lô góc mặt ngõ thông , ô tô vào đất Phố Phú Diễn. Bắc Từ Liêm Hà Nội.
- Xung quanh đã xây nhiều tòa nhà cho thuê căn hộ......<< Xem chi tiết >>",https://alonhadat.com.vn/chinh-chu-ban-dat-lo-goc-mat-ngo-thong-o-to-phu-dien-btl-62m-mt-6m-gia-9-8ty--17417396.html
Chuyển nhượng dự án tòa dịch vụ thương mại và khách sạn mặt phố cầu giấy DT 6300m2 . MT40m,Giá:100 tỷ,Diện tích:6300m²,"Đường Cầu vượt Mai Dịch,Phường Phú Diễn,Hà Nội","Bán chuyển nhượng dự án tòa Văn phòng dịch vụ và khách sạn mặt phố cầu giấy 
Tổng diện tích 6300 m2 . mặt tiền 40m
Tòa Nhà nằm vị trí đắc địa, lô góc 1 mặt nằm trên phố Hồ Tùng Mậu  mặt còn lại nằm số 1 phố Lê Đức Thọ......<< Xem chi tiết >>",https://alonhadat.com.vn/chuyen-nhuong-du-an-toa-dich-vu-thuong-mai-va-khach-san-mat-pho-cau-giay-dt-6300m2-mt40m-16855203.html
Cần bán tòa chdv đường ô tô 95m2 mặt tiền 6.45m 7 tầng 25 căn hộ giá 29 tỷ,Giá:29 tỷ,Diện tích:95m²,"Đường Tam Trinh,Phường Yên Sở,Hà Nội","Bán tòa chdv đường ô tô thoải mái đi lại 
Dt : 95m2
Mặt tiền 6.45m nở hậu : 6.77m
Nhà 7 tầng 25 chdv full nội thất dòng tiền 125 triệu / tháng
Ngõ ô tô thông các ngả - ngõ đối diện ubnd phường an ninh tuyệt đối 
Hàn......<< Xem chi tiết >>",https://alonhadat.com.vn/chinh-chu-ban-toa-chdv-95m2-mat-tien-6-45m-7-tang-25-can-ho-gia-26-ty-15662556.html
